Estado,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
RO,1229306,1255538,1276181,1296832,1379787,1407878,1431776,1455914,1479940,1534584,1562406,1590027,1493566,1503911,1562409,1576455,1590011
AC,483593,500198,514059,527926,557526,574366,586945,600607,614205,669737,686650,703447,680073,691169,733559,746386,758786
AM,2389279,2460606,2520694,2580839,2812557,2900218,2961804,3031079,3100136,3232319,3311046,3389081,3341096,3393357,3483985,3538387,3590985
RR,247131,254498,260701,266914,324397,337253,346866,357296,367701,391318,403340,415281,412783,421497,450479,460165,469524
PA,5510849,5650708,5768451,5886463,6192307,6341711,6453699,6574990,6695940,6970591,7110462,7249184,7321493,7431041,7581051,7688593,7822205
AP,379459,401906,420839,439783,477032,498735,516514,534821,553100,594577,615724,636652,613164,626607,669526,684309,698602
TO,1048642,1080749,1107806,1134879,1157098,1184855,1207008,1230188,1253256,1305708,1332443,1358889,1280509,1292063,1383445,1400892,1417694
MA,5222183,5295442,5356831,5418354,5651475,5730432,5803283,5873646,5943807,6103338,6184543,6265102,6305539,6367111,6574789,6645761,6714314
PI,2673085,2695950,2714928,2734158,2843278,2872983,2898191,2923695,2949133,3006886,3036271,3065488,3119697,3145164,3118360,3140328,3160748
CE,6809290,6920307,7013382,7106612,7430661,7547684,7654540,7758437,7862067,8097290,8217140,8335849,8450527,8547750,8452381,8530155,8606005
RN,2558660,2594306,2624456,2654464,2776782,2815203,2852800,2888087,2923287,3003040,3043740,3084106,3106430,3137646,3168027,3198657,3228198
PB,3305616,3331734,3353609,3375600,3443825,3468534,3494965,3518607,3542167,3595849,3623198,3650180,3742606,3769954,3766528,3791315,3815171
PE,7399071,7466811,7523764,7580807,7918344,8008255,8084722,8161828,8238849,8413601,8502602,8590868,8734194,8810318,8796448,8864906,8931028
AL,2633251,2663049,2688112,2713175,2822621,2856563,2887526,2917678,2947717,3015901,3050649,3085053,3127557,3156101,3120494,3143384,3165472
SE,1624020,1657162,1684915,1712745,1784475,1817318,1846042,1874597,1903065,1967818,2000768,2033430,1999374,2019755,2068017,2089819,2110867
BA,12541675,12709713,12851265,12993020,13070250,13214146,13323150,13440544,13552649,13815260,13950125,14083771,14502575,14637500,14016906,14097534,14175341
MG,16672613,16904908,17100267,17296065,17891494,18127024,18343518,18553335,18762405,19237434,19479262,19719285,19850072,20034068,19597330,19728701,19855332
ES,2802707,2853127,2895540,2938050,3097232,3155048,3201712,3250205,3298541,3408360,3464280,3519712,3453648,3487094,3514952,3547055,3578067
RJ,13406308,13555652,13681431,13807368,14391282,14558561,14724479,14879144,15033317,15383422,15561720,15738536,15872362,16010386,15989929,16112678,16231365
SP,34119110,34752122,35283992,35816704,37032403,37630105,38177734,38709339,39239362,40442820,41055761,41663568,41011635,41384089,41262199,41587182,41901219
PR,9003804,9142202,9258789,9375665,9563458,9694769,9797965,9906812,10015425,10261840,10387408,10511933,10590169,10686228,10444526,10512349,10577755
SC,4875244,4958310,5028265,5098440,5356360,5448702,5527718,5607160,5686503,5866590,5958295,6049251,6052587,6118727,6248436,6317054,6383286
RS,9634688,9762115,9867088,9971738,10187798,10310021,10408428,10511009,10613256,10845002,10963216,11080317,10855214,10914042,10693929,10733030,10770603
MS,1927834,1964578,1995578,2026628,2078001,2111030,2140620,2169704,2198640,2264489,2297994,2331243,2336058,2360550,2449024,2477542,2505088
MT,2235832,2287857,2331642,2375581,2504353,2560537,2604723,2651313,2697717,2803272,2857024,2910255,2957732,3001725,3035122,3075936,3115336
GO,4514967,4639734,4744193,4848759,5003228,5116395,5210366,5306424,5402335,5619919,5730762,5840650,5844996,5926308,6003788,6080716,6154996
DF,1821946,1877015,1923404,1969867,2051146,2097450,2145838,2189792,2233614,2333109,2383784,2434033,2557158,2606884,2570160,2609998,2648532
